timestamp,src_ip,src_port,dst_ip,dst_port,protocol,transport,connection_type
2025-01-09 21:34:19.368745,138.219.201.243,25357,192.168.128.2,445,smbd,tcp,accept
2025-01-09 21:34:19.958176,138.219.201.243,60294,192.168.128.2,445,smbd,tcp,accept
2025-01-09 21:34:20.529388,138.219.201.243,25397,192.168.128.2,445,smbd,tcp,accept
2025-01-09 21:34:21.117312,138.219.201.243,25402,192.168.128.2,445,smbd,tcp,accept
2025-01-09 21:34:21.732954,138.219.201.243,25420,192.168.128.2,445,smbd,tcp,accept
2025-01-09 21:34:22.330908,138.219.201.243,25445,192.168.128.2,445,smbd,tcp,accept
2025-01-09 21:34:22.901026,138.219.201.243,25456,192.168.128.2,445,smbd,tcp,accept
2025-01-09 21:34:24.504708,138.219.201.243,25479,192.168.128.2,445,smbd,tcp,accept
2025-01-09 21:34:25.081580,138.219.201.243,60348,192.168.128.2,445,smbd,tcp,accept
2025-01-09 21:34:25.652321,138.219.201.243,25527,192.168.128.2,445,smbd,tcp,accept
2025-01-09 21:34:26.233516,138.219.201.243,25551,192.168.128.2,445,smbd,tcp,accept
2025-01-09 21:34:26.813831,138.219.201.243,25562,192.168.128.2,445,smbd,tcp,accept
2025-01-09 21:34:27.401677,138.219.201.243,25574,192.168.128.2,445,smbd,tcp,accept
2025-01-09 21:34:27.984963,138.219.201.243,60376,192.168.128.2,445,smbd,tcp,accept
2025-01-09 21:34:28.566324,138.219.201.243,60380,192.168.128.2,445,smbd,tcp,accept
2025-01-09 21:34:30.200548,138.219.201.243,25621,192.168.128.2,445,smbd,tcp,accept
2025-01-09 21:34:30.798537,138.219.201.243,60400,192.168.128.2,445,smbd,tcp,accept
2025-01-09 21:34:31.393925,138.219.201.243,25685,192.168.128.2,445,smbd,tcp,accept
2025-01-09 21:34:33.017342,138.219.201.243,25695,192.168.128.2,445,smbd,tcp,accept
2025-01-09 21:34:33.612667,138.219.201.243,25738,192.168.128.2,445,smbd,tcp,accept
2025-01-09 21:34:34.214039,138.219.201.243,25759,192.168.128.2,445,smbd,tcp,accept
